0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-5,-4,-4,-1,-1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-11,-28,-28,-18,-5,20,10,0,10,10,20,20,20,40,10,0,0,10,10,0,0
0,0,0,0,0,-7,-2,-12,-42,-36,-23,14,73,157,64,30,46,200,360,373,336,260,160,40,10,6,0,0
0,0,0,0,-8,-5,42,41,-28,59,214,207,305,443,373,230,307,685,1229,1920,1780,1229,606,251,60,-4,0,0
0,0,0,0,22,62,179,370,458,608,707,1067,1287,1532,1283,809,788,1375,2949,4466,5126,4013,2093,806,246,6,-14,0
0,0,0,0,13,234,627,1203,1507,1794,2235,2968,3662,3877,3013,1808,1055,1392,2989,5636,7920,7687,4986,2242,721,82,-21,-3
0,0,0,0,51,453,1485,2427,3248,4219,5358,6367,7825,8113,6284,3576,1342,705,1807,4394,8697,10734,8532,4648,1439,228,-21,0
0,0,0,9,152,1080,2721,4547,5608,7138,8463,10803,12933,13537,10857,5851,1594,106,874,3004,7773,11834,11901,7488,2603,491,-26,-2
0,0,-3,16,255,1900,4780,7401,8387,9860,11633,14426,16759,17542,14341,7393,2455,48,245,2163,6801,12029,13936,10328,4035,525,-16,-1
0,0,-1,-21,459,3009,6983,9859,10923,12084,13806,15331,17355,17806,14319,7921,2980,488,490,2130,6383,11547,15119,12256,4862,633,-42,0
0,0,-6,16,761,4172,8726,11926,12294,12547,11981,12431,14365,15350,13659,8271,3539,1406,1203,2682,6066,10818,15620,13916,5346,668,-38,-4
0,0,-14,-3,869,5097,10711,13132,12134,11020,9341,8991,11283,12983,12125,7903,4597,2424,2443,3756,6774,11332,15847,13569,5014,584,-23,-9
0,0,-17,45,1124,5739,12007,13776,11440,9369,7052,6666,8642,10766,10807,7862,5659,4006,4365,5809,8375,11939,15386,12474,4058,427,-36,-11
0,0,-26,0,1375,5822,12033,13633,10881,7922,5583,5037,6937,8609,9643,8124,6889,5952,6503,7738,9928,13102,14516,9721,2848,203,-20,-2
0,0,-26,-21,1382,6190,12181,13354,10346,6931,4403,3695,5093,7371,8718,8119,7178,7418,8174,9196,10979,13145,12100,6918,1561,197,-3,0
0,0,-42,-68,1320,6598,11988,12946,10181,6575,3483,2333,3584,6464,7757,8330,8525,8809,9357,10060,10890,11166,8923,4291,963,142,16,0
0,0,-25,-71,1320,5995,11789,12361,9758,5948,2707,1148,2399,4803,6450,7779,8587,9044,9452,9182,9220,8368,5656,2467,477,72,19,-2
0,0,-28,3,1029,5590,10996,11552,9146,5252,2044,334,1294,3208,4935,6084,7090,7267,7307,7352,6949,5462,3499,1354,214,37,4,0
0,0,-11,20,1067,4980,9776,10334,8355,4676,1665,220,507,1603,2995,3994,4859,5489,5499,5175,4441,3344,1862,621,141,-6,-3,0
0,0,-16,89,1094,4684,8200,9330,7610,4077,1455,253,159,816,1369,2240,2651,3122,3155,3006,2447,1615,828,227,60,7,20,0
0,0,-2,-5,766,3637,6680,7545,6323,3809,1412,318,113,246,554,978,1305,1661,1764,1685,1196,787,332,55,17,20,0,0
0,0,-1,41,546,2470,4616,5978,5307,3307,1325,255,-1,89,174,360,574,746,806,712,461,190,51,30,20,10,0,0
0,0,0,-9,244,1085,2298,3184,3149,2138,883,160,1,10,48,124,153,219,230,150,61,20,7,10,20,10,0,0
0,0,0,0,30,167,751,945,1141,601,300,69,9,0,0,0,-1,0,0,0,0,10,10,0,0,0,0,0
0,0,0,0,0,10,80,150,90,60,40,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
